UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
193122,2010,A,,A,,A,,R,91.0,R,0.0,R,91.0,R,66.0,R,73.0,R,34.0,R,0.0,R,34.0,R,26.0,R,76.0,R,30
193186,2010,A,,A,,A,,R,30.0,R,0.0,R,30.0,R,29.0,R,97.0,R,17.0,R,0.0,R,17.0,R,13.0,R,76.0,R,20
193201,2010,R,191.0,R,193.0,R,99.0,R,171.0,R,0.0,R,171.0,R,107.0,R,63.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,25
193247,2010,R,60.0,R,66.0,R,91.0,R,57.0,R,0.0,R,57.0,R,46.0,R,81.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,15
193265,2010,A,,A,,A,,R,20.0,R,0.0,R,20.0,R,19.0,R,95.0,R,2.0,R,0.0,R,2.0,R,2.0,R,100.0,R,10
193283,2010,R,1626.0,R,2147.0,R,76.0,R,1581.0,R,4.0,R,1577.0,R,978.0,R,62.0,R,113.0,R,0.0,R,113.0,R,53.0,R,47.0,R,22
193292,2010,R,387.0,R,864.0,R,45.0,R,411.0,R,0.0,R,411.0,R,365.0,R,89.0,R,3.0,R,0.0,R,3.0,R,1.0,R,33.0,R,10
193308,2010,R,582.0,R,2171.0,R,27.0,R,692.0,Z,0.0,R,692.0,R,422.0,R,61.0,R,31.0,Z,0.0,R,31.0,R,22.0,R,71.0,R,25
193317,2010,R,489.0,R,1007.0,R,49.0,R,523.0,R,0.0,R,523.0,R,361.0,R,69.0,R,16.0,R,0.0,R,16.0,R,7.0,R,44.0,R,36
193326,2010,R,4082.0,R,6368.0,R,64.0,R,4097.0,Z,0.0,R,4097.0,R,2568.0,R,63.0,R,664.0,Z,0.0,R,664.0,R,272.0,R,41.0,R,25
193353,2010,R,444.0,R,724.0,R,61.0,R,474.0,R,0.0,R,474.0,R,344.0,R,73.0,R,4.0,R,0.0,R,4.0,R,3.0,R,75.0,R,15
193380,2010,A,,A,,A,,R,0.0,Z,0.0,R,0.0,R,0.0,A,,R,1.0,R,0.0,R,1.0,R,1.0,R,100.0,R,5
193399,2010,R,378.0,R,557.0,R,68.0,R,390.0,R,0.0,R,390.0,R,286.0,R,73.0,R,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,13
193478,2010,R,4922.0,R,7257.0,R,68.0,R,4723.0,Z,0.0,R,4723.0,R,3364.0,R,71.0,R,485.0,Z,0.0,R,485.0,R,260.0,R,54.0,R,21
193584,2010,R,467.0,R,647.0,R,72.0,R,491.0,R,0.0,R,491.0,R,399.0,R,81.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,11
193609,2010,A,,A,,A,,R,61.0,R,0.0,R,61.0,R,24.0,R,39.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,7
193645,2010,R,635.0,R,1069.0,R,59.0,R,555.0,R,16.0,R,539.0,R,302.0,R,56.0,R,55.0,R,4.0,R,51.0,R,16.0,R,31.0,R,16
193654,2010,R,1167.0,R,2427.0,R,48.0,R,1100.0,R,0.0,R,1100.0,R,886.0,R,81.0,R,7.0,R,0.0,R,7.0,R,3.0,R,43.0,R,9
193672,2010,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,12
193760,2010,A,,A,,A,,R,196.0,R,0.0,R,196.0,R,142.0,R,72.0,R,20.0,R,0.0,R,20.0,R,17.0,R,85.0,R,18
193788,2010,A,,A,,A,,R,118.0,R,0.0,R,118.0,R,72.0,R,61.0,R,8.0,R,0.0,R,8.0,R,7.0,R,88.0,R,15
193858,2010,A,,A,,A,,R,224.0,R,0.0,R,224.0,R,191.0,R,85.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,22
193900,2010,R,4995.0,R,6551.0,R,76.0,R,3733.0,R,0.0,R,3733.0,R,3446.0,R,92.0,R,13.0,R,0.0,R,13.0,R,8.0,R,62.0,R,11
193946,2010,R,1629.0,R,2129.0,R,77.0,R,1766.0,Z,0.0,R,1766.0,R,1115.0,R,63.0,R,167.0,Z,0.0,R,167.0,R,96.0,R,57.0,R,19
193973,2010,R,670.0,R,911.0,R,74.0,R,676.0,R,0.0,R,676.0,R,517.0,R,76.0,R,1.0,R,0.0,R,1.0,R,1.0,R,100.0,R,12
193991,2010,A,,A,,A,,R,9.0,Z,0.0,R,9.0,R,6.0,R,67.0,R,38.0,Z,0.0,R,38.0,R,26.0,R,68.0,R,8
194028,2010,R,347.0,R,654.0,R,53.0,R,360.0,R,0.0,R,360.0,R,169.0,R,47.0,R,14.0,R,0.0,R,14.0,R,9.0,R,64.0,R,18
194091,2010,R,849.0,R,1449.0,R,59.0,R,934.0,R,0.0,R,934.0,R,673.0,R,72.0,R,88.0,R,0.0,R,88.0,R,28.0,R,32.0,R,18
194116,2010,R,26.0,R,127.0,R,20.0,R,7.0,R,0.0,R,7.0,R,6.0,R,86.0,R,3.0,R,0.0,R,3.0,R,2.0,R,67.0,R,16
194161,2010,R,314.0,R,730.0,R,43.0,R,150.0,R,0.0,R,150.0,R,113.0,R,75.0,R,61.0,R,0.0,R,61.0,R,36.0,R,59.0,R,14
194189,2010,R,6.0,R,7.0,R,86.0,R,5.0,R,0.0,R,5.0,R,4.0,R,80.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,10
194204,2010,R,25.0,R,30.0,R,83.0,R,39.0,R,0.0,R,39.0,R,32.0,R,82.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,A,,R,14
194222,2010,R,2285.0,R,3865.0,R,59.0,R,1859.0,R,0.0,R,1859.0,R,1052.0,R,57.0,R,204.0,R,0.0,R,204.0,R,85.0,R,42.0,R,24
194240,2010,R,1277.0,R,2079.0,R,61.0,R,1290.0,Z,0.0,R,1290.0,R,838.0,R,65.0,R,360.0,Z,0.0,R,360.0,R,158.0,R,44.0,R,16
194259,2010,A,,A,,A,,R,15.0,R,0.0,R,15.0,R,12.0,R,80.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,24
194310,2010,R,1766.0,R,2649.0,R,67.0,R,1637.0,R,1.0,R,1636.0,R,1216.0,R,74.0,R,35.0,R,0.0,R,35.0,R,25.0,R,71.0,R,16
194392,2010,R,342.0,R,425.0,R,80.0,R,192.0,R,0.0,R,192.0,R,127.0,R,66.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,14
